MUNI_NUM;MUNI_DESC_I;MUNI_DESC_D;MUNI_DESC_L;MUNI_SECT;MUNI_SECP;MUNI_TYPE;MUNI_RIGHT_T;MUNI_VOTERS_M;MUNI_VOTERS_F;MUNI_VOTERS_T;MUNI_HH
021001;ALDINO;ALDEIN;ALDEIN;2;2;L;1271;0;0;325;11
021001;ALDINO;ALDEIN;ALDEIN;2;2;L;1271;0;0;738;17
021001;ALDINO;ALDEIN;ALDEIN;2;2;L;1271;535;515;1050;21
021002;ANDRIANO;ANDRIAN;ANDRIAN;1;1;L;776;0;0;168;11
021002;ANDRIANO;ANDRIAN;ANDRIAN;1;1;L;776;0;0;467;17
021002;ANDRIANO;ANDRIAN;ANDRIAN;1;1;L;776;309;311;620;21
021003;ANTERIVO;ALTREI;ALTREI;1;1;L;298;0;0;40;11
021003;ANTERIVO;ALTREI;ALTREI;1;1;L;298;0;0;145;17
021003;ANTERIVO;ALTREI;ALTREI;1;1;L;298;117;103;220;21
021004;APPIANO S.S.D.V.;EPPAN A.D.W.;EPPAN A.D.W.;10;10;L;10953;0;0;2068;11
021004;APPIANO S.S.D.V.;EPPAN A.D.W.;EPPAN A.D.W.;10;10;L;10953;0;0;6004;17
021004;APPIANO S.S.D.V.;EPPAN A.D.W.;EPPAN A.D.W.;10;10;L;10953;4025;4176;8201;21
021005;AVELENGO;HAFLING;HAFLING;1;1;L;604;0;0;131;11
021005;AVELENGO;HAFLING;HAFLING;1;1;L;604;0;0;363;17
021005;AVELENGO;HAFLING;HAFLING;1;1;L;604;261;241;502;21
021006;BADIA;ABTEI;BADIA;3;3;L;2687;0;0;548;11
021006;BADIA;ABTEI;BADIA;3;3;L;2687;0;0;1454;17
021006;BADIA;ABTEI;BADIA;3;3;L;2687;983;998;1981;21
021007;BARBIANO;BARBIAN;PÈRBIAN;2;2;L;1290;0;0;229;11
021007;BARBIANO;BARBIAN;PÈRBIAN;2;2;L;1290;0;0;753;17
021007;BARBIANO;BARBIAN;PÈRBIAN;2;2;L;1290;521;519;1040;21
021008;BOLZANO;BOZEN;BULSAN;80;80;L;74251;0;0;10447;11
021008;BOLZANO;BOZEN;BULSAN;80;80;L;74251;0;0;31086;17
021008;BOLZANO;BOZEN;BULSAN;80;80;L;74251;20573;23224;43797;21
021009;BRAIES;PRAGS;BRAIES;1;1;L;526;0;0;129;11
021009;BRAIES;PRAGS;BRAIES;1;1;L;526;0;0;298;17
021009;BRAIES;PRAGS;BRAIES;1;1;L;526;206;207;413;21
021010;BRENNERO;BRENNER;PRËNER;3;3;L;1556;0;0;347;11
021010;BRENNERO;BRENNER;PRËNER;3;3;L;1556;0;0;881;17
021010;BRENNERO;BRENNER;PRËNER;3;3;L;1556;600;552;1152;21
021011;BRESSANONE;BRIXEN;PERSENON;22;22;L;15945;0;0;2838;11
021011;BRESSANONE;BRIXEN;PERSENON;22;22;L;15945;0;0;8614;17
021011;BRESSANONE;BRIXEN;PERSENON;22;22;L;15945;5387;5929;11316;21
021012;BRONZOLO;BRANZOLL;BRANZOLL;2;2;L;2096;0;0;286;11
021012;BRONZOLO;BRANZOLL;BRANZOLL;2;2;L;2096;0;0;942;17
021012;BRONZOLO;BRANZOLL;BRANZOLL;2;2;L;2096;676;673;1349;21
021013;BRUNICO;BRUNECK;BURNECH;14;14;L;12294;0;0;2539;11
021013;BRUNICO;BRUNECK;BURNECH;14;14;L;12294;0;0;6706;17
021013;BRUNICO;BRUNECK;BURNECH;14;14;L;12294;4209;4539;8748;21
021014;CAINES;KUENS;KUENS;1;1;L;315;0;0;58;11
021014;CAINES;KUENS;KUENS;1;1;L;315;0;0;178;17
021014;CAINES;KUENS;KUENS;1;1;L;315;128;125;253;21
021015;CALDARO S.S.D.V.;KALTERN A.D.W.;KALTERN A.D.W.;5;5;L;5952;0;0;1305;11
021015;CALDARO S.S.D.V.;KALTERN A.D.W.;KALTERN A.D.W.;5;5;L;5952;0;0;3410;17
021015;CALDARO S.S.D.V.;KALTERN A.D.W.;KALTERN A.D.W.;5;5;L;5952;2234;2426;4660;21
021016;CAMPO DI TRENS;FREIENFELD;FREIENFELD;3;3;L;2028;0;0;512;11
