SECT_NUM;SECT_DESC_I;SECT_DESC_D;SECT_DESC_L;SECT_SECT;SECT_SECP;MUNI_NUM;MUNI_DESC_I;MUNI_DESC_D;MUNI_DESC_L;SECT_BLANK;SECT_NULLS;LIST_NUM;LIST_NAME;LIST_VOTES
2;SCUOLA ELEMENTARE;GRUNDSCHULE;;1;0;021001;ALDINO;ALDEIN;ALDEIN;0;0;15;LEGA SALVINI ALTO ADIGE SÜDTIROL - UNITI PER L’ALTO ADIGE;0
2;SCUOLA ELEMENTARE;GRUNDSCHULE;;1;0;021001;ALDINO;ALDEIN;ALDEIN;0;0;16;FÜR SÜDTIROL MIT WIDMANN;0
1;SCUOLA ELEMENTARE ANDRIANO;GRUNDSCHULE ANDRIAN;;1;0;021002;ANDRIANO;ANDRIAN;ANDRIAN;0;0;1;TEAM K;0
1;SCUOLA ELEMENTARE ANDRIANO;GRUNDSCHULE ANDRIAN;;1;0;021002;ANDRIANO;ANDRIAN;ANDRIAN;0;0;2;MOVIMENTO 5 STELLE;0
1;SCUOLA ELEMENTARE ANDRIANO;GRUNDSCHULE ANDRIAN;;1;0;021002;ANDRIANO;ANDRIAN;ANDRIAN;0;0;3;ENZIAN;0
1;SCUOLA ELEMENTARE ANDRIANO;GRUNDSCHULE ANDRIAN;;1;0;021002;ANDRIANO;ANDRIAN;ANDRIAN;0;0;4;STF SÜDTIROLER FREIHEIT;0
1;SCUOLA ELEMENTARE ANDRIANO;GRUNDSCHULE ANDRIAN;;1;0;021002;ANDRIANO;ANDRIAN;ANDRIAN;0;0;5;PD PARTITO DEMOCRATICO - DEMOKRATISCHE PARTEI;0
1;SCUOLA ELEMENTARE ANDRIANO;GRUNDSCHULE ANDRIAN;;1;0;021002;ANDRIANO;ANDRIAN;ANDRIAN;0;0;6;VERDI GRÜNE VËRC;0
1;SCUOLA ELEMENTARE ANDRIANO;GRUNDSCHULE ANDRIAN;;1;0;021002;ANDRIANO;ANDRIAN;ANDRIAN;0;0;7;FRATELLI D’ITALIA;0
1;SCUOLA ELEMENTARE ANDRIANO;GRUNDSCHULE ANDRIAN;;1;0;021002;ANDRIANO;ANDRIAN;ANDRIAN;0;0;8;LA CIVICA;0
1;SCUOLA ELEMENTARE ANDRIANO;GRUNDSCHULE ANDRIAN;;1;0;021002;ANDRIANO;ANDRIAN;ANDRIAN;0;0;9;JWA - WIRTH ANDERLAN;0
1;SCUOLA ELEMENTARE ANDRIANO;GRUNDSCHULE ANDRIAN;;1;0;021002;ANDRIANO;ANDRIAN;ANDRIAN;0;0;10;DIE FREIHEITLICHEN;0
1;SCUOLA ELEMENTARE ANDRIANO;GRUNDSCHULE ANDRIAN;;1;0;021002;ANDRIANO;ANDRIAN;ANDRIAN;0;0;11;FORZA ITALIA;0
1;SCUOLA ELEMENTARE ANDRIANO;GRUNDSCHULE ANDRIAN;;1;0;021002;ANDRIANO;ANDRIAN;ANDRIAN;0;0;12;VITA;0
1;SCUOLA ELEMENTARE ANDRIANO;GRUNDSCHULE ANDRIAN;;1;0;021002;ANDRIANO;ANDRIAN;ANDRIAN;0;0;13;CENTRO DESTRA;0
1;SCUOLA ELEMENTARE ANDRIANO;GRUNDSCHULE ANDRIAN;;1;0;021002;ANDRIANO;ANDRIAN;ANDRIAN;0;0;14;SVP SÜDTIROLER VOLKSPARTEI;0
1;SCUOLA ELEMENTARE ANDRIANO;GRUNDSCHULE ANDRIAN;;1;0;021002;ANDRIANO;ANDRIAN;ANDRIAN;0;0;15;LEGA SALVINI ALTO ADIGE SÜDTIROL - UNITI PER L’ALTO ADIGE;0
1;SCUOLA ELEMENTARE ANDRIANO;GRUNDSCHULE ANDRIAN;;1;0;021002;ANDRIANO;ANDRIAN;ANDRIAN;0;0;16;FÜR SÜDTIROL MIT WIDMANN;0
1;SALA CULTURALE;"KULTURSAAL ";;1;0;021003;ANTERIVO;ALTREI;ALTREI;0;0;1;TEAM K;0
1;SALA CULTURALE;"KULTURSAAL ";;1;0;021003;ANTERIVO;ALTREI;ALTREI;0;0;2;MOVIMENTO 5 STELLE;0
1;SALA CULTURALE;"KULTURSAAL ";;1;0;021003;ANTERIVO;ALTREI;ALTREI;0;0;3;ENZIAN;0
1;SALA CULTURALE;"KULTURSAAL ";;1;0;021003;ANTERIVO;ALTREI;ALTREI;0;0;4;STF SÜDTIROLER FREIHEIT;0
1;SALA CULTURALE;"KULTURSAAL ";;1;0;021003;ANTERIVO;ALTREI;ALTREI;0;0;5;PD PARTITO DEMOCRATICO - DEMOKRATISCHE PARTEI;0
1;SALA CULTURALE;"KULTURSAAL ";;1;0;021003;ANTERIVO;ALTREI;ALTREI;0;0;6;VERDI GRÜNE VËRC;0
1;SALA CULTURALE;"KULTURSAAL ";;1;0;021003;ANTERIVO;ALTREI;ALTREI;0;0;7;FRATELLI D’ITALIA;0
1;SALA CULTURALE;"KULTURSAAL ";;1;0;021003;ANTERIVO;ALTREI;ALTREI;0;0;8;LA CIVICA;0
1;SALA CULTURALE;"KULTURSAAL ";;1;0;021003;ANTERIVO;ALTREI;ALTREI;0;0;9;JWA - WIRTH ANDERLAN;0
1;SALA CULTURALE;"KULTURSAAL ";;1;0;021003;ANTERIVO;ALTREI;ALTREI;0;0;10;DIE FREIHEITLICHEN;0
1;SALA CULTURALE;"KULTURSAAL ";;1;0;021003;ANTERIVO;ALTREI;ALTREI;0;0;11;FORZA ITALIA;0
1;SALA CULTURALE;"KULTURSAAL ";;1;0;021003;ANTERIVO;ALTREI;ALTREI;0;0;12;VITA;0
1;SALA CULTURALE;"KULTURSAAL ";;1;0;021003;ANTERIVO;ALTREI;ALTREI;0;0;13;CENTRO DESTRA;0
1;SALA CULTURALE;"KULTURSAAL ";;1;0;021003;ANTERIVO;ALTREI;ALTREI;0;0;14;SVP SÜDTIROLER VOLKSPARTEI;0
1;SALA CULTURALE;"KULTURSAAL ";;1;0;021003;ANTERIVO;ALTREI;ALTREI;0;0;15;LEGA SALVINI ALTO ADIGE SÜDTIROL - UNITI PER L’ALTO ADIGE;0
1;SALA CULTURALE;"KULTURSAAL ";;1;0;021003;ANTERIVO;ALTREI;ALTREI;0;0;16;FÜR SÜDTIROL MIT WIDMANN;0
1;LANSERHAUS;LANSERHAUS;;1;0;021004;APPIANO S.S.D.V.;EPPAN A.D.W.;EPPAN A.D.W.;0;0;1;TEAM K;0
1;LANSERHAUS;LANSERHAUS;;1;0;021004;APPIANO S.S.D.V.;EPPAN A.D.W.;EPPAN A.D.W.;0;0;2;MOVIMENTO 5 STELLE;0
1;LANSERHAUS;LANSERHAUS;;1;0;021004;APPIANO S.S.D.V.;EPPAN A.D.W.;EPPAN A.D.W.;0;0;3;ENZIAN;0
1;LANSERHAUS;LANSERHAUS;;1;0;021004;APPIANO S.S.D.V.;EPPAN A.D.W.;EPPAN A.D.W.;0;0;4;STF SÜDTIROLER FREIHEIT;0
1;LANSERHAUS;LANSERHAUS;;1;0;021004;APPIANO S.S.D.V.;EPPAN A.D.W.;EPPAN A.D.W.;0;0;5;PD PARTITO DEMOCRATICO - DEMOKRATISCHE PARTEI;0
1;LANSERHAUS;LANSERHAUS;;1;0;021004;APPIANO S.S.D.V.;EPPAN A.D.W.;EPPAN A.D.W.;0;0;6;VERDI GRÜNE VËRC;0
1;LANSERHAUS;LANSERHAUS;;1;0;021004;APPIANO S.S.D.V.;EPPAN A.D.W.;EPPAN A.D.W.;0;0;7;FRATELLI D’ITALIA;0
1;LANSERHAUS;LANSERHAUS;;1;0;021004;APPIANO S.S.D.V.;EPPAN A.D.W.;EPPAN A.D.W.;0;0;8;LA CIVICA;0
1;LANSERHAUS;LANSERHAUS;;1;0;021004;APPIANO S.S.D.V.;EPPAN A.D.W.;EPPAN A.D.W.;0;0;9;JWA - WIRTH ANDERLAN;0
1;LANSERHAUS;LANSERHAUS;;1;0;021004;APPIANO S.S.D.V.;EPPAN A.D.W.;EPPAN A.D.W.;0;0;10;DIE FREIHEITLICHEN;0
1;LANSERHAUS;LANSERHAUS;;1;0;021004;APPIANO S.S.D.V.;EPPAN A.D.W.;EPPAN A.D.W.;0;0;11;FORZA ITALIA;0
1;LANSERHAUS;LANSERHAUS;;1;0;021004;APPIANO S.S.D.V.;EPPAN A.D.W.;EPPAN A.D.W.;0;0;12;VITA;0
1;LANSERHAUS;LANSERHAUS;;1;0;021004;APPIANO S.S.D.V.;EPPAN A.D.W.;EPPAN A.D.W.;0;0;13;CENTRO DESTRA;0
1;LANSERHAUS;LANSERHAUS;;1;0;021004;APPIANO S.S.D.V.;EPPAN A.D.W.;EPPAN A.D.W.;0;0;14;SVP SÜDTIROLER VOLKSPARTEI;0
1;LANSERHAUS;LANSERHAUS;;1;0;021004;APPIANO S.S.D.V.;EPPAN A.D.W.;EPPAN A.D.W.;0;0;15;LEGA SALVINI ALTO ADIGE SÜDTIROL - UNITI PER L’ALTO ADIGE;0
1;LANSERHAUS;LANSERHAUS;;1;0;021004;APPIANO S.S.D.V.;EPPAN A.D.W.;EPPAN A.D.W.;0;0;16;FÜR SÜDTIROL MIT WIDMANN;0
10;SCUOLA ELEM. TED. CORNAIANO;DEUTSCHE GRUNDSCHULE GIRLAN;;1;0;021004;APPIANO S.S.D.V.;EPPAN A.D.W.;EPPAN A.D.W.;0;0;1;TEAM K;0
10;SCUOLA ELEM. TED. CORNAIANO;DEUTSCHE GRUNDSCHULE GIRLAN;;1;0;021004;APPIANO S.S.D.V.;EPPAN A.D.W.;EPPAN A.D.W.;0;0;2;MOVIMENTO 5 STELLE;0
10;SCUOLA ELEM. TED. CORNAIANO;DEUTSCHE GRUNDSCHULE GIRLAN;;1;0;021004;APPIANO S.S.D.V.;EPPAN A.D.W.;EPPAN A.D.W.;0;0;3;ENZIAN;0
10;SCUOLA ELEM. TED. CORNAIANO;DEUTSCHE GRUNDSCHULE GIRLAN;;1;0;021004;APPIANO S.S.D.V.;EPPAN A.D.W.;EPPAN A.D.W.;0;0;4;STF SÜDTIROLER FREIHEIT;0
10;SCUOLA ELEM. TED. CORNAIANO;DEUTSCHE GRUNDSCHULE GIRLAN;;1;0;021004;APPIANO S.S.D.V.;EPPAN A.D.W.;EPPAN A.D.W.;0;0;5;PD PARTITO DEMOCRATICO - DEMOKRATISCHE PARTEI;0
10;SCUOLA ELEM. TED. CORNAIANO;DEUTSCHE GRUNDSCHULE GIRLAN;;1;0;021004;APPIANO S.S.D.V.;EPPAN A.D.W.;EPPAN A.D.W.;0;0;6;VERDI GRÜNE VËRC;0
10;SCUOLA ELEM. TED. CORNAIANO;DEUTSCHE GRUNDSCHULE GIRLAN;;1;0;021004;APPIANO S.S.D.V.;EPPAN A.D.W.;EPPAN A.D.W.;0;0;7;FRATELLI D’ITALIA;0
10;SCUOLA ELEM. TED. CORNAIANO;DEUTSCHE GRUNDSCHULE GIRLAN;;1;0;021004;APPIANO S.S.D.V.;EPPAN A.D.W.;EPPAN A.D.W.;0;0;8;LA CIVICA;0
10;SCUOLA ELEM. TED. CORNAIANO;DEUTSCHE GRUNDSCHULE GIRLAN;;1;0;021004;APPIANO S.S.D.V.;EPPAN A.D.W.;EPPAN A.D.W.;0;0;9;JWA - WIRTH ANDERLAN;0
10;SCUOLA ELEM. TED. CORNAIANO;DEUTSCHE GRUNDSCHULE GIRLAN;;1;0;021004;APPIANO S.S.D.V.;EPPAN A.D.W.;EPPAN A.D.W.;0;0;10;DIE FREIHEITLICHEN;0
10;SCUOLA ELEM. TED. CORNAIANO;DEUTSCHE GRUNDSCHULE GIRLAN;;1;0;021004;APPIANO S.S.D.V.;EPPAN A.D.W.;EPPAN A.D.W.;0;0;11;FORZA ITALIA;0
10;SCUOLA ELEM. TED. CORNAIANO;DEUTSCHE GRUNDSCHULE GIRLAN;;1;0;021004;APPIANO S.S.D.V.;EPPAN A.D.W.;EPPAN A.D.W.;0;0;12;VITA;0
10;SCUOLA ELEM. TED. CORNAIANO;DEUTSCHE GRUNDSCHULE GIRLAN;;1;0;021004;APPIANO S.S.D.V.;EPPAN A.D.W.;EPPAN A.D.W.;0;0;13;CENTRO DESTRA;0
10;SCUOLA ELEM. TED. CORNAIANO;DEUTSCHE GRUNDSCHULE GIRLAN;;1;0;021004;APPIANO S.S.D.V.;EPPAN A.D.W.;EPPAN A.D.W.;0;0;14;SVP SÜDTIROLER VOLKSPARTEI;0
10;SCUOLA ELEM. TED. CORNAIANO;DEUTSCHE GRUNDSCHULE GIRLAN;;1;0;021004;APPIANO S.S.D.V.;EPPAN A.D.W.;EPPAN A.D.W.;0;0;15;LEGA SALVINI ALTO ADIGE SÜDTIROL - UNITI PER L’ALTO ADIGE;0
10;SCUOLA ELEM. TED. CORNAIANO;DEUTSCHE GRUNDSCHULE GIRLAN;;1;0;021004;APPIANO S.S.D.V.;EPPAN A.D.W.;EPPAN A.D.W.;0;0;16;FÜR SÜDTIROL MIT WIDMANN;0
2;LANSERHAUS;LANSERHAUS;;1;0;021004;APPIANO S.S.D.V.;EPPAN A.D.W.;EPPAN A.D.W.;0;0;1;TEAM K;0
2;LANSERHAUS;LANSERHAUS;;1;0;021004;APPIANO S.S.D.V.;EPPAN A.D.W.;EPPAN A.D.W.;0;0;2;MOVIMENTO 5 STELLE;0
2;LANSERHAUS;LANSERHAUS;;1;0;021004;APPIANO S.S.D.V.;EPPAN A.D.W.;EPPAN A.D.W.;0;0;3;ENZIAN;0
2;LANSERHAUS;LANSERHAUS;;1;0;021004;APPIANO S.S.D.V.;EPPAN A.D.W.;EPPAN A.D.W.;0;0;4;STF SÜDTIROLER FREIHEIT;0
2;LANSERHAUS;LANSERHAUS;;1;0;021004;APPIANO S.S.D.V.;EPPAN A.D.W.;EPPAN A.D.W.;0;0;5;PD PARTITO DEMOCRATICO - DEMOKRATISCHE PARTEI;0
2;LANSERHAUS;LANSERHAUS;;1;0;021004;APPIANO S.S.D.V.;EPPAN A.D.W.;EPPAN A.D.W.;0;0;6;VERDI GRÜNE VËRC;0
2;LANSERHAUS;LANSERHAUS;;1;0;021004;APPIANO S.S.D.V.;EPPAN A.D.W.;EPPAN A.D.W.;0;0;7;FRATELLI D’ITALIA;0
2;LANSERHAUS;LANSERHAUS;;1;0;021004;APPIANO S.S.D.V.;EPPAN A.D.W.;EPPAN A.D.W.;0;0;8;LA CIVICA;0
2;LANSERHAUS;LANSERHAUS;;1;0;021004;APPIANO S.S.D.V.;EPPAN A.D.W.;EPPAN A.D.W.;0;0;9;JWA - WIRTH ANDERLAN;0
2;LANSERHAUS;LANSERHAUS;;1;0;021004;APPIANO S.S.D.V.;EPPAN A.D.W.;EPPAN A.D.W.;0;0;10;DIE FREIHEITLICHEN;0
2;LANSERHAUS;LANSERHAUS;;1;0;021004;APPIANO S.S.D.V.;EPPAN A.D.W.;EPPAN A.D.W.;0;0;11;FORZA ITALIA;0
2;LANSERHAUS;LANSERHAUS;;1;0;021004;APPIANO S.S.D.V.;EPPAN A.D.W.;EPPAN A.D.W.;0;0;12;VITA;0
2;LANSERHAUS;LANSERHAUS;;1;0;021004;APPIANO S.S.D.V.;EPPAN A.D.W.;EPPAN A.D.W.;0;0;13;CENTRO DESTRA;0
2;LANSERHAUS;LANSERHAUS;;1;0;021004;APPIANO S.S.D.V.;EPPAN A.D.W.;EPPAN A.D.W.;0;0;14;SVP SÜDTIROLER VOLKSPARTEI;0
2;LANSERHAUS;LANSERHAUS;;1;0;021004;APPIANO S.S.D.V.;EPPAN A.D.W.;EPPAN A.D.W.;0;0;15;LEGA SALVINI ALTO ADIGE SÜDTIROL - UNITI PER L’ALTO ADIGE;0
2;LANSERHAUS;LANSERHAUS;;1;0;021004;APPIANO S.S.D.V.;EPPAN A.D.W.;EPPAN A.D.W.;0;0;16;FÜR SÜDTIROL MIT WIDMANN;0
3;LANSERHAUS;LANSERHAUS;;1;0;021004;APPIANO S.S.D.V.;EPPAN A.D.W.;EPPAN A.D.W.;0;0;1;TEAM K;0
3;LANSERHAUS;LANSERHAUS;;1;0;021004;APPIANO S.S.D.V.;EPPAN A.D.W.;EPPAN A.D.W.;0;0;2;MOVIMENTO 5 STELLE;0
3;LANSERHAUS;LANSERHAUS;;1;0;021004;APPIANO S.S.D.V.;EPPAN A.D.W.;EPPAN A.D.W.;0;0;3;ENZIAN;0
3;LANSERHAUS;LANSERHAUS;;1;0;021004;APPIANO S.S.D.V.;EPPAN A.D.W.;EPPAN A.D.W.;0;0;4;STF SÜDTIROLER FREIHEIT;0
3;LANSERHAUS;LANSERHAUS;;1;0;021004;APPIANO S.S.D.V.;EPPAN A.D.W.;EPPAN A.D.W.;0;0;5;PD PARTITO DEMOCRATICO - DEMOKRATISCHE PARTEI;0
3;LANSERHAUS;LANSERHAUS;;1;0;021004;APPIANO S.S.D.V.;EPPAN A.D.W.;EPPAN A.D.W.;0;0;6;VERDI GRÜNE VËRC;0
3;LANSERHAUS;LANSERHAUS;;1;0;021004;APPIANO S.S.D.V.;EPPAN A.D.W.;EPPAN A.D.W.;0;0;7;FRATELLI D’ITALIA;0
3;LANSERHAUS;LANSERHAUS;;1;0;021004;APPIANO S.S.D.V.;EPPAN A.D.W.;EPPAN A.D.W.;0;0;8;LA CIVICA;0
3;LANSERHAUS;LANSERHAUS;;1;0;021004;APPIANO S.S.D.V.;EPPAN A.D.W.;EPPAN A.D.W.;0;0;9;JWA - WIRTH ANDERLAN;0
3;LANSERHAUS;LANSERHAUS;;1;0;021004;APPIANO S.S.D.V.;EPPAN A.D.W.;EPPAN A.D.W.;0;0;10;DIE FREIHEITLICHEN;0
3;LANSERHAUS;LANSERHAUS;;1;0;021004;APPIANO S.S.D.V.;EPPAN A.D.W.;EPPAN A.D.W.;0;0;11;FORZA ITALIA;0
3;LANSERHAUS;LANSERHAUS;;1;0;021004;APPIANO S.S.D.V.;EPPAN A.D.W.;EPPAN A.D.W.;0;0;12;VITA;0
3;LANSERHAUS;LANSERHAUS;;1;0;021004;APPIANO S.S.D.V.;EPPAN A.D.W.;EPPAN A.D.W.;0;0;13;CENTRO DESTRA;0
3;LANSERHAUS;LANSERHAUS;;1;0;021004;APPIANO S.S.D.V.;EPPAN A.D.W.;EPPAN A.D.W.;0;0;14;SVP SÜDTIROLER VOLKSPARTEI;0
3;LANSERHAUS;LANSERHAUS;;1;0;021004;APPIANO S.S.D.V.;EPPAN A.D.W.;EPPAN A.D.W.;0;0;15;LEGA SALVINI ALTO ADIGE SÜDTIROL - UNITI PER L’ALTO ADIGE;0
3;LANSERHAUS;LANSERHAUS;;1;0;021004;APPIANO S.S.D.V.;EPPAN A.D.W.;EPPAN A.D.W.;0;0;16;FÜR SÜDTIROL MIT WIDMANN;0
4;LANSERHAUS;LANSERHAUS;;1;0;021004;APPIANO S.S.D.V.;EPPAN A.D.W.;EPPAN A.D.W.;0;0;1;TEAM K;0
4;LANSERHAUS;LANSERHAUS;;1;0;021004;APPIANO S.S.D.V.;EPPAN A.D.W.;EPPAN A.D.W.;0;0;2;MOVIMENTO 5 STELLE;0
4;LANSERHAUS;LANSERHAUS;;1;0;021004;APPIANO S.S.D.V.;EPPAN A.D.W.;EPPAN A.D.W.;0;0;3;ENZIAN;0
4;LANSERHAUS;LANSERHAUS;;1;0;021004;APPIANO S.S.D.V.;EPPAN A.D.W.;EPPAN A.D.W.;0;0;4;STF SÜDTIROLER FREIHEIT;0
4;LANSERHAUS;LANSERHAUS;;1;0;021004;APPIANO S.S.D.V.;EPPAN A.D.W.;EPPAN A.D.W.;0;0;5;PD PARTITO DEMOCRATICO - DEMOKRATISCHE PARTEI;0
4;LANSERHAUS;LANSERHAUS;;1;0;021004;APPIANO S.S.D.V.;EPPAN A.D.W.;EPPAN A.D.W.;0;0;6;VERDI GRÜNE VËRC;0
4;LANSERHAUS;LANSERHAUS;;1;0;021004;APPIANO S.S.D.V.;EPPAN A.D.W.;EPPAN A.D.W.;0;0;7;FRATELLI D’ITALIA;0
4;LANSERHAUS;LANSERHAUS;;1;0;021004;APPIANO S.S.D.V.;EPPAN A.D.W.;EPPAN A.D.W.;0;0;8;LA CIVICA;0
4;LANSERHAUS;LANSERHAUS;;1;0;021004;APPIANO S.S.D.V.;EPPAN A.D.W.;EPPAN A.D.W.;0;0;9;JWA - WIRTH ANDERLAN;0
4;LANSERHAUS;LANSERHAUS;;1;0;021004;APPIANO S.S.D.V.;EPPAN A.D.W.;EPPAN A.D.W.;0;0;10;DIE FREIHEITLICHEN;0
4;LANSERHAUS;LANSERHAUS;;1;0;021004;APPIANO S.S.D.V.;EPPAN A.D.W.;EPPAN A.D.W.;0;0;11;FORZA ITALIA;0
4;LANSERHAUS;LANSERHAUS;;1;0;021004;APPIANO S.S.D.V.;EPPAN A.D.W.;EPPAN A.D.W.;0;0;12;VITA;0
4;LANSERHAUS;LANSERHAUS;;1;0;021004;APPIANO S.S.D.V.;EPPAN A.D.W.;EPPAN A.D.W.;0;0;13;CENTRO DESTRA;0
4;LANSERHAUS;LANSERHAUS;;1;0;021004;APPIANO S.S.D.V.;EPPAN A.D.W.;EPPAN A.D.W.;0;0;14;SVP SÜDTIROLER VOLKSPARTEI;0
4;LANSERHAUS;LANSERHAUS;;1;0;021004;APPIANO S.S.D.V.;EPPAN A.D.W.;EPPAN A.D.W.;0;0;15;LEGA SALVINI ALTO ADIGE SÜDTIROL - UNITI PER L’ALTO ADIGE;0
4;LANSERHAUS;LANSERHAUS;;1;0;021004;APPIANO S.S.D.V.;EPPAN A.D.W.;EPPAN A.D.W.;0;0;16;FÜR SÜDTIROL MIT WIDMANN;0
5;LANSERHAUS;LANSERHAUS;;1;0;021004;APPIANO S.S.D.V.;EPPAN A.D.W.;EPPAN A.D.W.;0;0;1;TEAM K;0
5;LANSERHAUS;LANSERHAUS;;1;0;021004;APPIANO S.S.D.V.;EPPAN A.D.W.;EPPAN A.D.W.;0;0;2;MOVIMENTO 5 STELLE;0
5;LANSERHAUS;LANSERHAUS;;1;0;021004;APPIANO S.S.D.V.;EPPAN A.D.W.;EPPAN A.D.W.;0;0;3;ENZIAN;0
5;LANSERHAUS;LANSERHAUS;;1;0;021004;APPIANO S.S.D.V.;EPPAN A.D.W.;EPPAN A.D.W.;0;0;4;STF SÜDTIROLER FREIHEIT;0
5;LANSERHAUS;LANSERHAUS;;1;0;021004;APPIANO S.S.D.V.;EPPAN A.D.W.;EPPAN A.D.W.;0;0;5;PD PARTITO DEMOCRATICO - DEMOKRATISCHE PARTEI;0
